Zeitpunkt;Dateiname;CreationTime
2025-04-03 00:22:55;test2.hl7;2025-04-02 22:40:24
2025-04-03 00:22:55;test3.hl7;2025-04-02 22:40:24
2025-04-03 00:22:55;test4.hl7;2025-04-02 22:40:24
2025-04-03 00:22:55;test5.hl7;2025-04-02 22:40:24
2025-04-03 00:22:55;test6.hl7;2025-04-02 22:40:24
2025-04-03 00:22:55;test7.hl7;2025-04-02 22:40:24
2025-04-03 00:22:55;test8.hl7;2025-04-02 22:40:24
2025-04-03 00:22:55;test9.hl7;2025-04-02 22:40:24
2025-04-03 00:23:06;test2.hl7;2025-04-02 22:40:24
2025-04-03 00:23:06;test3.hl7;2025-04-02 22:40:24
2025-04-03 00:23:06;test4.hl7;2025-04-02 22:40:24
2025-04-03 00:23:06;test5.hl7;2025-04-02 22:40:24
2025-04-03 00:23:06;test6.hl7;2025-04-02 22:40:24
2025-04-03 00:23:06;test7.hl7;2025-04-02 22:40:24
2025-04-03 00:23:06;test8.hl7;2025-04-02 22:40:24
2025-04-03 00:23:06;test9.hl7;2025-04-02 22:40:24
