Zeitstempel;INPUT;ARCHIV;ERROR
31.03.2025 20:54;4;3;0
31.03.2025 20:55;4;3;0
31.03.2025 20:57;4;3;0
31.03.2025 20:58;4;3;0
31.03.2025 21:01;4;3;0
31.03.2025 21:14;4;3;1
31.03.2025 21:16;4;3;1
31.03.2025 21:19;4;3;1
31.03.2025 21:20;4;3;1
31.03.2025 21:21;4;3;1
31.03.2025 21:22;4;3;1
31.03.2025 21:24;4;3;1
31.03.2025 21:27;4;3;1
31.03.2025 21:30;4;3;1
31.03.2025 21:30;4;3;1
31.03.2025 21:31;4;3;1
31.03.2025 21:32;4;3;1
31.03.2025 21:32;4;3;1
31.03.2025 21:33;4;3;1
31.03.2025 21:34;4;3;1
31.03.2025 21:39;4;3;1
31.03.2025 21:54;4;3;5
31.03.2025 22:04;4;3;6
31.03.2025 22:06;4;3;6
2025-03-31 23:49:18;4;3;7
2025-04-02 22:35:28;4;3;0
2025-04-02 22:37:14;4;3;0
2025-04-02 22:38:09;4;3;0
2025-04-02 22:38:31;4;3;0
2025-04-02 22:39:41;4;3;8
2025-04-02 22:40:35;8;8;8
2025-04-02 23:38:30;8;8;8
2025-04-02 23:44:48;8;8;8
